Sample,Treatment,Replicate,Day,Glucose,Xylose,Pyruvate,Xylitol,Succinate,Lactate,Glycerol,Formate,Acetate,Ethanol,Cellobiose
pH6_1A,pH 6,A,1,0.008984579,0.655631222,0.016251473,0.085341734,0.004430737,0.133692232,0.043376232,0.004867212,0.777936584,0,0
pH6_1B,pH 6,B,1,0.014645206,0.424591661,0.017252715,0,0.002633407,0.043962643,0.030027786,0,0.35952364,0,0
pH6_1C,pH 6,C,1,0.011016784,0.311142924,0.017779314,0,0.005824199,0.057447619,0.030951449,0,0.312119574,0,0
pH6_1D,pH 6,D,1,0.010146611,0.674208308,0.019979933,0.081125769,0.003999708,0.090671826,0.042301542,0.007445813,0.894922232,0,0
pH6_1E,pH 6,E,1,0.009916006,0.682753708,0,0.108963922,0.004077648,0.231436238,0.052780463,0,0.772989877,0.09681288,0.086477788
pH6_1F,pH 6,F,1,0.008654886,0.704773275,0.019655873,0.08871329,0.005206588,0.088935984,0.040167816,0.01555768,1.11080599,0,0
pH6_1X,pH 6,X,1,0.031099219,0.9563281,0.371718872,0.137025731,0,0.012367984,0.126771094,0.200586772,1.664140379,0.089102144,0.983893637
Buffer_1A,pH 6 + MES,A,1,0,0.744964577,0.273799674,0.277193276,0,0.051832032,0.037578245,0,0.526096211,0.085899819,0.822624064
Buffer_1B,pH 6 + MES,B,1,0,0.717932169,0.197783641,0.269468824,0,0.04099721,0.034514411,0,0.477601602,0.112599226,0.231056983
Buffer_1C,pH 6 + MES,C,1,0,0.760334886,0.373821745,0.290185023,0,0.052138304,0.030327079,0,1.381529225,0.144803538,0.440473982
Buffer_1D,pH 6 + MES,D,1,0,0.737256903,0.189302582,0.245796427,0,0.060447283,0.020007473,0,0.287312828,0.113311469,0.813618243
Buffer_1E,pH 6 + MES,E,1,0,0.703861986,0.146073047,0.235502229,0.033937885,0.02289203,0.014149629,0,0,0,0.765915802
Buffer_1F,pH 6 + MES,F,1,0,0.685796843,0.074025878,0.143459985,0.023051168,0.024391862,0.016452799,0.026269321,0,0.07211245,0
Buffer_1X,pH 6 + MES,X,1,0.037786758,0.977343297,0.38648037,0.131365899,0,0.018686195,0.122845297,0.207274471,1.754057306,0.105876692,1.050812602
5%_g_1A,pH 6 + 5% glucose,A,1,0,0.725938602,0.30690319,0.120128396,0,0.178885368,0.058746974,0,1.600381716,0.075394016,0.781808629
5%_g_1B,pH 6 + 5% glucose,B,1,0,0.712803728,0.245443474,0.135997224,0,0.151530774,0.060894513,0,1.390322058,0.089832814,0.843647915
5%_g_1C,pH 6 + 5% glucose,C,1,0,0.744695844,0.351693147,0.128120625,0,0.502520288,0.061377985,0,2.277159395,0.101520773,0.842473838
5%_g_1D,pH 6 + 5% glucose,D,1,0,0.705912761,0.260971094,0.12785437,0,0.128286531,0.053164478,0,1.358336742,0.119681107,0.733863158
5%_g_1E,pH 6 + 5% glucose,E,1,0,0.709425803,0.053676092,0.151694126,0.020278415,0.303954242,0.061102636,0.009223491,0.320255246,0,0.5864874
5%_g_1F,pH 6 + 5% glucose,F,1,0,0.637626131,0.021517461,0.179311668,0.019155379,0.11909747,0.038672275,0,0.149606278,0.103556607,0
5%_g_1X,pH 6 + 5% glucose,X,1,4.575235264,0.688252969,0.321204134,0.128035423,0,0.01649545,0.124877724,0.208150422,1.725717957,0,1.031537886
10%_g_1A,pH 6 + 10% glucose,A,1,2.752760125,0.572993665,0.297272948,0.123207831,0,0.408420918,0.091477602,0,1.928438446,0.117159235,0.79998115
10%_g_1B,pH 6 + 10% glucose,B,1,2.458187715,0.591426626,0.266040708,0.141909617,0,0.382639122,0.091869905,0,1.782407873,0.146334905,0.922564373
10%_g_1C,pH 6 + 10% glucose,C,1,3.915647885,0.537304761,0.294569506,0.129842918,0,0.522318971,0.095448522,0,2.167322794,0.156054293,0.853379404
10%_g_1D,pH 6 + 10% glucose,D,1,2.303026717,0.591621795,0.270466603,0.131438929,0,0.341566245,0.072030035,0,1.723074557,0,0.799409515
10%_g_1E,pH 6 + 10% glucose,E,1,0.826745232,0.724704533,0.331209511,0.125077705,0,0.407025579,0.105960596,0.036775668,1.516363284,4.97938381,0.873229178
10%_g_1F,pH 6 + 10% glucose,F,1,1.455579299,0.687759042,0.282343256,0.1435178,0,0.22742948,0.069731469,0,1.425514643,0.103255309,0.835093925
10%_g_1X,pH 6 + 10% glucose,X,1,8.547159728,0.457639778,0.301873202,0.123061771,0,0.015674821,0.116362161,0.191773408,1.591873475,0.006400044,1.025965299
pH8_1A,pH 8,A,1,0.00954848,0.013932064,0,0,0.002678281,0.002914088,0,0,0,0.088436893,0
pH8_1B,pH 8,B,1,0.009746656,0.003555078,0.006723381,0,0.027067409,0,0.028075478,0,0.333470475,0,0
