sample,source,day,source_day,replicate,broke,extracted
1102A,110,2,110_2,A,NA,LRW
1102B,110,2,110_2,B,NA,LRW
1102C,110,2,110_2,C,NA,LRW
1103A,110,3,110_3,A,3,LRW
1103B,110,3,110_3,B,3,LRW
1103C,110,3,110_3,C,3,LRW
1104A,110,4,110_4,A,3,LRW
1104B,110,4,110_4,B,3,LRW
1104C,110,4,110_4,C,3,LRW
1105A,110,5,110_5,A,3,DQH
1105B,110,5,110_5,B,3,DQH
1105C,110,5,110_5,C,3,DQH
1106A,110,6,110_6,A,3,DQH
1106B,110,6,110_6,B,3,DQH
1106C,110,6,110_6,C,3,DQH
1107A,110,7,110_7,A,3,DQH
1107B,110,7,110_7,B,2,DQH
1107C,110,7,110_7,C,3,DQH
0562A,56,2,56_2,A,NA,LRW
0562B,56,2,56_2,B,NA,LRW
0562C,56,2,56_2,C,NA,LRW
0562D,56,2,56_2,D,NA,LRW
0562E,56,2,56_2,E,NA,LRW
0563A,56,3,56_3,A,NA,LRW
0563B,56,3,56_3,B,NA,LRW
0563C,56,3,56_3,C,NA,LRW
0563D,56,3,56_3,D,NA,LRW
0563E,56,3,56_3,E,NA,LRW
0564A,56,4,56_4,A,NA,LRW
0564B,56,4,56_4,B,NA,LRW
0564C,56,4,56_4,C,NA,LRW
0564D,56,4,56_4,D,NA,LRW
0564E,56,4,56_4,E,NA,LRW
0565A,56,5,56_5,A,5,LRW
0565B,56,5,56_5,B,NA,LRW
0565C,56,5,56_5,C,4,LRW
0565D,56,5,56_5,D,NA,LRW
0565E,56,5,56_5,E,NA,LRW
0566A,56,6,56_6,A,6,LRW
0566B,56,6,56_6,B,6,LRW
0566C,56,6,56_6,C,6,LRW
0566D,56,6,56_6,D,6,LRW
0566E,56,6,56_6,E,6,LRW
0567A,56,7,56_7,A,3,DQH
0567B,56,7,56_7,B,ND,DQH
0567C,56,7,56_7,C,5,DQH
0567D,56,7,56_7,D,ND,DQH
0567E,56,7,56_7,E,5,DQH
0732A,73,2,73_2,A,NA,LRW
0732B,73,2,73_2,B,NA,LRW
0732C,73,2,73_2,C,NA,LRW
0732D,73,2,73_2,D,NA,LRW
0732E,73,2,73_2,E,NA,LRW
0733A,73,3,73_3,A,3,LRW
0733B,73,3,73_3,B,3,LRW
0733C,73,3,73_3,C,3,LRW
0733D,73,3,73_3,D,3,LRW
0733E,73,3,73_3,E,2,LRW
0734A,73,4,73_4,A,3,LRW
0734B,73,4,73_4,B,3,LRW
0734C,73,4,73_4,C,3,LRW
0734D,73,4,73_4,D,3,LRW
0734E,73,4,73_4,E,3,LRW
0735A,73,5,73_5,A,3,LRW
0735B,73,5,73_5,B,3,LRW
0735C,73,5,73_5,C,3,LRW
0735D,73,5,73_5,D,3,LRW
0735E,73,5,73_5,E,3,LRW
0736A,73,6,73_6,A,3,DQH
0736B,73,6,73_6,B,3,DQH
0736C,73,6,73_6,C,3,DQH
0736D,73,6,73_6,D,3,DQH
0736E,73,6,73_6,E,3,DQH
0737A,73,7,73_7,A,3,DQH
0737B,73,7,73_7,B,3,DQH
0737C,73,7,73_7,C,3,DQH
0737D,73,7,73_7,D,3,DQH
0737E,73,7,73_7,E,3,DQH
0942A,94,2,94_2,A,NA,LRW
0942B,94,2,94_2,B,NA,LRW
0942C,94,2,94_2,C,2,LRW
0942D,94,2,94_2,D,NA,LRW
0942E,94,2,94_2,E,2,LRW
0943A,94,3,94_3,A,2,LRW
0943B,94,3,94_3,B,3,LRW
0943C,94,3,94_3,C,3,LRW
0943D,94,3,94_3,D,2,LRW
0943E,94,3,94_3,E,2,LRW
0944A,94,4,94_4,A,3,LRW
0944B,94,4,94_4,B,3,LRW
0944C,94,4,94_4,C,3,LRW
0944D,94,4,94_4,D,3,LRW
0944E,94,4,94_4,E,3,LRW
0945A,94,5,94_5,A,3,DQH
0945B,94,5,94_5,B,3,DQH
0945C,94,5,94_5,C,3,DQH
0945D,94,5,94_5,D,2,DQH
0945E,94,5,94_5,E,3,DQH
0946A,94,6,94_6,A,3,DQH
0946B,94,6,94_6,B,2,DQH
0946C,94,6,94_6,C,3,DQH
0946D,94,6,94_6,D,2,DQH
0946E,94,6,94_6,E,3,DQH
0947A,94,7,94_7,A,3,DQH
0947B,94,7,94_7,B,3,DQH
0947C,94,7,94_7,C,3,DQH
0947D,94,7,94_7,D,3,DQH
0947E,94,7,94_7,E,3,DQH
